Data from lamp5helium_zwak_Subt4__61__216.txt Node

Date: Wed Apr 09 10:14:07 CEST 2025
User: fys-lab-0081
Spectrometer: S04999
Trigger mode: 0
Resolution mode: 1024 pixels
Integration Time (sec): 1.000000E-1
Scans to average: 1
Nonlinearity correction enabled: false
Boxcar width: 0
Baseline correction enabled: true
XAxis mode: Wavelengths
Number of Pixels in Spectrum: 1024
>>>>>Begin Spectral Data<<<<<
336.42	-1
336.877	1
337.334	-2
337.792	0
338.249	5
338.706	3
339.164	1
339.621	1
340.079	2
340.536	3
340.994	6
341.452	-3
341.909	2
342.367	1
342.825	-1
343.283	2
343.741	-2
344.198	0
344.656	-1
345.114	-5
345.572	1
346.03	3
346.488	4
346.947	-4
347.405	2
347.863	-1
348.321	-3
348.779	1
349.238	-4
349.696	0
350.154	4
350.613	-1
351.071	4
351.53	2
351.988	3
352.447	0
352.905	0
353.364	0
353.823	-3
354.282	3
354.74	0
355.199	-1
355.658	2
356.117	-2
356.576	2
357.035	3
357.494	-1
357.953	1
358.412	5
358.871	-5
359.33	0
359.789	4
360.249	1
360.708	6
361.167	2
361.626	5
362.086	-2
362.545	6
363.005	5
363.464	-2
363.924	-2
364.383	7
364.843	-1
365.303	3
365.762	-1
366.222	2
366.682	4
367.142	3
367.601	2
368.061	2
368.521	6
368.981	-1
369.441	6
369.901	9
370.361	0
370.821	1
371.282	4
371.742	5
372.202	5
372.662	4
373.123	-1
373.583	1
374.043	4
374.504	-2
374.964	0
375.425	-3
375.885	2
376.346	5
376.806	3
377.267	1
377.728	5
378.188	5
378.649	6
379.11	1
379.571	-5
380.032	8
380.493	5
380.954	7
381.414	1
381.876	1
382.337	6
382.798	7
383.259	12
383.72	0
384.181	5
384.642	2
385.104	12
385.565	13
386.026	6
386.488	6
386.949	6
387.411	12
387.872	4
388.334	8
388.795	7
389.257	11
389.719	8
390.181	3
390.642	11
391.104	11
391.566	6
392.028	13
392.49	7
392.952	12
393.414	10
393.876	9
394.338	7
394.8	5
395.262	13
395.724	8
396.186	13
396.648	8
397.111	12
397.573	14
398.035	15
398.498	14
398.96	11
399.423	13
399.885	17
400.348	17
400.81	21
401.273	9
401.736	18
402.198	13
402.661	16
403.124	15
403.587	11
404.049	13.5
404.512	16
404.975	13
405.438	13
405.901	18
406.364	18
406.827	17
407.29	17
407.754	20
408.217	21
408.68	14
409.143	16
409.607	19
410.07	18
410.533	17
410.997	19
411.46	16
411.924	21
412.387	18
412.851	19
413.314	21
413.778	21
414.242	22
414.705	23
415.169	25
415.633	22
416.097	21
416.561	20
417.024	26
417.488	29
417.952	21
418.416	25
418.88	24
419.344	25
419.809	25
420.273	30
420.737	24
421.201	17
421.665	26
422.13	27
422.594	26
423.059	31
423.523	28
423.987	26
424.452	28
424.916	31
425.381	30
425.846	33
426.31	27
426.775	31
427.24	35
427.704	28
428.169	33
428.634	31
429.099	34
429.564	32
430.029	34
430.494	31
430.959	34
431.424	31
431.889	33
432.354	35
432.819	31
433.284	33
433.75	37
434.215	35
434.68	40
435.146	43
435.611	43
436.077	43
436.542	48
